Title,sentiment_title,Tag,Created Date,url,Content,sentiment_content
"The tech giant’s revenue also grew 15 percent, but Wall Street is watching whether its investment in A.I. is paying off for its cloud computing business.",0,GOOGL,2024-07-30T20:51:51+0000,https://www.nytimes.com/2024/07/30/technology/microsoft-earnings-profit.html,Microsoft closed its first full fiscal year of aggressive artificial intelligence investment with a mixed bag of results for people worried about how much big tech companies are spending on A.I.,0.0772
"The platform first known for viral videos now attracts more viewers on TVs than Netflix, Disney+ or Amazon Prime Video.",0.5267,GOOGL,2024-07-30T16:08:33+0000,https://www.nytimes.com/2024/07/30/technology/youtube-streaming-tv.html,"Two years ago, YouTube abandoned its audacious plan to beat Hollywood at its own game.",-0.2732
The parent company of Facebook and Instagram faced allegations that it had collected facial identification information on millions of users in violation of a state law.,-0.4939,GOOGL,2024-07-30T15:34:32+0000,https://www.nytimes.com/2024/07/30/technology/meta-texas-privacy-settlement.html,"Meta, the parent company of Facebook and Instagram, agreed to a record $1.4 billion settlement with Texas on Tuesday, over allegations that it had illegally collected facial recognition information on millions of users in violation of state law.",-0.2732
"Modern Love in miniature, featuring reader-submitted stories of no more than 100 words.",0.4588,GOOGL,2024-07-30T15:26:38+0000,https://www.nytimes.com/2024/07/30/style/tiny-modern-love-stories-i-make-no-apologies.html,"“I’m in love with a woman,” my mother revealed in a handwritten letter before moving cross-country. At her going-away party, she whispered, “Do you still love me?” Her eyes searched mine for approval. We struggled during my teen years. Silence carried the hurt, hers and mine. Physically unwell, suffering after a painful divorce, she needed me. I kept her secret until she was ready to come out. I leaned close: “Mom, I knew. I’ll always love you.” The truth helped us heal. Recently, she texted a photo with a blissful smile: “This is me; I make no apologies.” — Lisa Mccarty",0.9485
The governor of Michigan on why her promises to fix roads and Roe resonate with voters.,0.3818,GOOGL,2024-07-30T09:05:04+0000,https://www.nytimes.com/2024/07/30/opinion/ezra-klein-podcast-gretchen-whitmer.html,"We are deep in the pivotal week of Vice President Kamala Harris’s veepstakes. It is reported that she will make her decision by Aug. 7. And as somebody who wanted to see a sort of mini-primary for Democrats — who made the argument that at the very least, there should be a sort of contest of the vice-presidential candidates and town halls and forums in an organized way — what has emerged in a disorganized way is much more like what I had hoped to see than I’d ever expected.",0.1761
"The brainy machines are predicting global weather patterns with new speed and precision, doing in minutes and seconds what once took hours.",0,GOOGL,2024-07-29T20:48:11+0000,https://www.nytimes.com/interactive/2024/07/29/science/ai-weather-forecast-hurricane.html,"The brainy machines are predicting global weather patterns with new speed and precision, doing in minutes and seconds what once took hours.",0
"Tesla says self-driving taxis will power its growth, but the company hasn’t said when such a service would be ready or how much it would increase profits.",0.8968,GOOGL,2024-07-29T14:21:49+0000,https://www.nytimes.com/2024/07/29/business/elon-musk-tesla-robotaxi.html,"As sales of its electric cars have fallen, Tesla and its chief executive, Elon Musk, have sought to convince Wall Street that the company’s future lies not in the grinding business of making and selling cars but in the far more exciting world of artificial intelligence.",0.8289
Here’s what you need to know.,0,GOOGL,2024-07-29T05:00:39+0000,https://www.nytimes.com/2024/07/29/briefing/israel-lebanon-harris-trump.html,Western diplomats have scrambled to prevent a surge of fighting along the Israel-Lebanon border after a rocket from Lebanon killed at least 12 children and teenagers on Saturday at a soccer field in a Druse Arab town in the occupied Golan Heights.,-0.7845
"Plus, Venezuela’s election and the Olympics’ first weekend",0,GOOGL,2024-07-28T21:07:56+0000,https://www.nytimes.com/2024/07/28/briefing/monday-briefing-a-deadly-strike-on-the-israel-lebanon-border.html,Western diplomats were scrambling to prevent a surge of fighting along the Israel-Lebanon border after a rocket from Lebanon killed at least 12 children and teenagers at a soccer field in an Israeli-controlled town on Saturday.,-0.7845
"Text messages, obtained exclusively by The Times, indicate that some law enforcement officers were aware of Thomas Crooks earlier than previously known. And he was aware of them.",0,GOOGL,2024-07-28T19:02:53+0000,https://www.nytimes.com/2024/07/28/us/politics/trump-shooting-thomas-crooks-secret-service.html,"Nearly 100 minutes before former President Donald J. Trump took the stage in Butler, Pa., a local countersniper who was part of the broader security detail let his colleagues know his shift was ending.",0.34
