title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
,2024-03-22 09:15:46,格隆汇3月22日｜人民币兑美元中间价较上日调降62点至7.1004，降幅创2024年2月5日以来最大。,CNH,,2024-03-22 01:15:46,20240323
,2024-03-22 09:43:18,格隆汇3月22日｜在岸人民币兑美元跌破7.20关口。,CNH,,2024-03-22 01:43:18,20240323
,2024-03-22 09:45:10,格隆汇3月22日丨离岸人民币兑美元跌破7.24关口，日内跌超150点。,CNH,,2024-03-22 01:45:10,20240323
离岸人民币兑美元跌破7.24，在岸跌破7.22,2024-03-22 10:22:12,"格隆汇3月22日｜人民币走弱。美元兑离岸人民币盘中升破7.24至7.24926，为去年11月17日以来新高；美元兑在岸人民币盘中升破7.22至7.22360，亦为2023年11月17日以来新高。
今早央行公布，人民币兑美元中间价较上日调降62点至7.1004，降幅创2024年2月5日以来最大。",CNH,,2024-03-22 02:22:12,20240323
离岸人民币兑美元跌破7.25，为去年11月以来首次,2024-03-22 10:40:43,格隆汇3月22日｜离岸人民币兑美元盘中跌破7.25关口，至7.25215，为去年11月17日以来新低。今早央行公布，人民币兑美元中间价较上日调降62点至7.1004，降幅创2024年2月5日以来最大。,CNH,,2024-03-22 02:40:43,20240323
离岸人民币兑美元跌破7.26,2024-03-22 12:17:32,格隆汇3月22日｜离岸人民币兑美元日内跌430点，跌破7.26，最低报7.2643，为去年11月16日以来新低。在岸人民币兑美元日内跌280点，现报7.2264，为去年11月17日以来新低。今早央行公布，人民币兑美元中间价较上日调降62点至7.1004，降幅创2024年2月5日以来最大。,CNH,,2024-03-22 04:17:32,20240323
离岸人民币兑美元跌破7.27,2024-03-22 16:31:32,格隆汇3月22日｜离岸人民币兑美元日内跌近500点，跌破7.27，最低报7.27066，为去年11月14日以来新低。在岸人民币兑美元跌破7.22，报7.2289，为去年11月17日以来新低。今早央行公布，人民币兑美元中间价较上日调降62点至7.1004，降幅创2024年2月5日以来最大。,CNH,,2024-03-22 08:31:32,20240323
,2024-03-22 16:31:59,格隆汇3月22日｜在岸人民币兑美元3月22日16:30收盘报7.2283，较上一交易日下跌289点。,CNH,,2024-03-22 08:31:59,20240323
人民币在岸、离岸汇率双双创下四个月新低，发生了什么？,2024-03-22 16:51:56,格隆汇3月22日｜据一财，3月22日，人民币对美元汇率离岸、在岸双双跌破重要点位，创下近四个月以来的新低。汇管信息科技研究院副院长、对外经贸大学金融学院兼职教授赵庆明对记者表示，近期人民币汇率的剧烈波动，主要是外部原因诱发。近期非美货币比较弱，以日元为例，日本加息之后，日元不涨反跌，触及近两年的低位，这种情况带崩了其他周边货币，人民币也算在其中。另一方面，今日人民币开盘价较之以往下跌幅度增大，随后外围市场先下跌，在岸人民币市场也随之迅速走弱，这算是预期实现。,CNH,,2024-03-22 08:51:56,20240323
离岸对冲基金止损盘触发，人民币短线急跌500点,2024-03-22 16:54:54,格隆汇3月22日｜据一财，巴克莱中国利率、外汇策略师张蒙表示：“初始触发人民币贬值的因素应该是隔夜美元对所有货币的强势走势。此外，人民币中间价也存在一定影响，市场正在重新调整预期，因为中国央行本可以将中间价保持在7.099左右的水平(就和过去一段时间一样)，但3月22日的中间价为7.1004，接着就出现在岸汇率跌破7.2，触发了一些对冲基金的止损，可能是和期权有关。”多位外资行外汇交易员表示，一些海外对冲基金的止损盘(stop loss)被触发，导致人民币对美元短线走弱，但整体市场并不恐慌，日元近期的贬值幅度其实更大。,CNH,,2024-03-22 08:54:54,20240323
人民币对美元汇率跌破“7.2”关口 专家：未来或围绕当前位置小幅震荡,2024-03-23 01:48:40,格隆汇3月23日｜据证券日报，3月22日，人民币汇率出现下行，突破了此前维持近两个月的盘整区间。人民币汇率缘何突然生变？“本周是‘超级央行周’，全球央行的货币政策变化或给市场带来一定的影响。”巨丰投顾投资顾问总监郭一鸣表示，比如，在瑞士央行意外降息、美联储暗示年内降息3次后，美元指数创下一个多月来的最大单日涨幅，这或给人民币汇率带来影响。中国银行研究院研究员范若滢也表示，人民币汇率下跌，主要原因是美元指数的走高。实际上，2023年四季度美元经历过一段时间调整，释放了市场部分看空情绪。今年以来，美元指数整体维持高位运行态势，英镑等非美货币均对美元贬值，人民币汇率整体表现稳定。,CNH,,2024-03-22 17:48:40,20240323
在岸人民币兑美元较周四夜盘收盘跌296点，报7.229元,2024-03-23 06:14:19,格隆汇3月23日｜在岸人民币兑美元（CNY）北京时间03:00收报7.229元，较周四夜盘收盘跌296点。成交量585.18亿美元。,CNH,,2024-03-22 22:14:19,20240323
离岸人民币兑美元较周四纽约尾盘跌545点，报7.2761元,2024-03-23 06:14:54,格隆汇3月23日｜离岸人民币（CNH）兑美元北京时间04:59报7.2761元，较周四纽约尾盘跌545点，盘中整体交投于7.2177-7.2799元区间。,CNH,,2024-03-22 22:14:54,20240323
