,open,high,low,close,volume,num_trds,value
2024-03-18 17:00:00-04:00,1.0872,1.0873,1.0872,1.0873,0,484,0.0
2024-03-18 17:01:00-04:00,1.0873,1.0873,1.0873,1.0873,0,463,0.0
2024-03-18 17:02:00-04:00,1.0873,1.0873,1.0873,1.0873,0,465,0.0
2024-03-18 17:03:00-04:00,1.0873,1.0873,1.0872,1.0873,0,482,0.0
2024-03-18 17:04:00-04:00,1.0873,1.0873,1.0873,1.0873,0,461,0.0
2024-03-18 17:05:00-04:00,1.0873,1.0875,1.0873,1.0874,0,577,0.0
2024-03-18 17:06:00-04:00,1.0874,1.0874,1.0874,1.0874,0,599,0.0
2024-03-18 17:07:00-04:00,1.0874,1.0874,1.0874,1.0874,0,572,0.0
2024-03-18 17:08:00-04:00,1.0874,1.0874,1.0874,1.0874,0,584,0.0
2024-03-18 17:09:00-04:00,1.0874,1.0874,1.0873,1.0873,0,575,0.0
2024-03-18 17:10:00-04:00,1.0873,1.0873,1.0873,1.0873,0,511,0.0
2024-03-18 17:11:00-04:00,1.0873,1.0873,1.0873,1.0873,0,496,0.0
2024-03-18 17:12:00-04:00,1.0873,1.0873,1.0873,1.0873,0,510,0.0
2024-03-18 17:13:00-04:00,1.0873,1.0873,1.0873,1.0873,0,485,0.0
2024-03-18 17:14:00-04:00,1.0873,1.0873,1.0873,1.0873,0,502,0.0
2024-03-18 17:15:00-04:00,1.0873,1.0873,1.0873,1.0873,0,516,0.0
2024-03-18 17:16:00-04:00,1.0873,1.0873,1.0873,1.0873,0,549,0.0
2024-03-18 17:17:00-04:00,1.0873,1.0874,1.0873,1.0874,0,544,0.0
2024-03-18 17:18:00-04:00,1.0874,1.0874,1.0874,1.0874,0,499,0.0
2024-03-18 17:19:00-04:00,1.0874,1.0874,1.0874,1.0874,0,543,0.0
2024-03-18 17:20:00-04:00,1.0874,1.0874,1.0874,1.0874,0,569,0.0
2024-03-18 17:21:00-04:00,1.0874,1.0874,1.0873,1.0873,0,580,0.0
2024-03-18 17:22:00-04:00,1.0873,1.0873,1.0873,1.0873,0,559,0.0
2024-03-18 17:23:00-04:00,1.0873,1.0873,1.0872,1.0872,0,526,0.0
2024-03-18 17:24:00-04:00,1.0872,1.0873,1.0872,1.0873,0,613,0.0
2024-03-18 17:25:00-04:00,1.0873,1.0873,1.0873,1.0873,0,571,0.0
2024-03-18 17:26:00-04:00,1.0873,1.0873,1.0873,1.0873,0,580,0.0
2024-03-18 17:27:00-04:00,1.0873,1.0873,1.0873,1.0873,0,625,0.0
2024-03-18 17:28:00-04:00,1.0873,1.0873,1.0873,1.0873,0,626,0.0
2024-03-18 17:29:00-04:00,1.0873,1.0873,1.0873,1.0873,0,572,0.0
2024-03-18 17:30:00-04:00,1.0873,1.0873,1.0873,1.0873,0,650,0.0
2024-03-18 17:31:00-04:00,1.0873,1.0873,1.0873,1.0873,0,578,0.0
2024-03-18 17:32:00-04:00,1.0873,1.0873,1.0873,1.0873,0,719,0.0
2024-03-18 17:33:00-04:00,1.0873,1.0873,1.0873,1.0873,0,804,0.0
2024-03-18 17:34:00-04:00,1.0873,1.0873,1.0873,1.0873,0,576,0.0
2024-03-18 17:35:00-04:00,1.0873,1.0873,1.0873,1.0873,0,771,0.0
2024-03-18 17:36:00-04:00,1.0873,1.0873,1.0873,1.0873,0,718,0.0
2024-03-18 17:37:00-04:00,1.0873,1.0873,1.0873,1.0873,0,921,0.0
2024-03-18 17:38:00-04:00,1.0873,1.0873,1.0873,1.0873,0,1000,0.0
2024-03-18 17:39:00-04:00,1.0873,1.0873,1.0873,1.0873,0,967,0.0
2024-03-18 17:40:00-04:00,1.0873,1.0873,1.0873,1.0873,0,973,0.0
2024-03-18 17:41:00-04:00,1.0873,1.0873,1.0873,1.0873,0,735,0.0
2024-03-18 17:42:00-04:00,1.0873,1.0873,1.0873,1.0873,0,772,0.0
2024-03-18 17:43:00-04:00,1.0873,1.0873,1.0873,1.0873,0,709,0.0
2024-03-18 17:44:00-04:00,1.0873,1.0873,1.0873,1.0873,0,711,0.0
2024-03-18 17:45:00-04:00,1.0873,1.0873,1.0873,1.0873,0,736,0.0
2024-03-18 17:46:00-04:00,1.0873,1.0873,1.0873,1.0873,0,731,0.0
2024-03-18 17:47:00-04:00,1.0873,1.0873,1.0873,1.0873,0,659,0.0
2024-03-18 17:48:00-04:00,1.0873,1.0873,1.0873,1.0873,0,649,0.0
2024-03-18 17:49:00-04:00,1.0873,1.0874,1.0873,1.0874,0,602,0.0
2024-03-18 17:50:00-04:00,1.0874,1.0874,1.0873,1.0873,0,544,0.0
2024-03-18 17:51:00-04:00,1.0873,1.0874,1.0873,1.0873,0,573,0.0
