,open,high,low,close,volume,num_trds,value
2024-03-10 17:00:00-04:00,7.201,7.201,7.201,7.201,0,9,0.0
2024-03-10 17:05:00-04:00,7.2008,7.2008,7.1996,7.1998,0,178,0.0
2024-03-10 17:06:00-04:00,7.1998,7.201,7.1998,7.201,0,210,0.0
2024-03-10 17:07:00-04:00,7.201,7.201,7.201,7.201,0,64,0.0
2024-03-10 17:08:00-04:00,7.201,7.201,7.2008,7.2009,0,197,0.0
2024-03-10 17:09:00-04:00,7.2009,7.201,7.2008,7.201,0,188,0.0
2024-03-10 17:10:00-04:00,7.201,7.2011,7.1975,7.2009,0,209,0.0
2024-03-10 17:11:00-04:00,7.2009,7.2011,7.2007,7.2009,0,200,0.0
2024-03-10 17:12:00-04:00,7.2009,7.2011,7.2008,7.2009,0,249,0.0
2024-03-10 17:13:00-04:00,7.2009,7.2011,7.2008,7.201,0,351,0.0
2024-03-10 17:14:00-04:00,7.201,7.2011,7.2008,7.201,0,495,0.0
2024-03-10 17:15:00-04:00,7.201,7.2012,7.2009,7.201,0,283,0.0
2024-03-10 17:16:00-04:00,7.201,7.2011,7.2008,7.201,0,358,0.0
2024-03-10 17:17:00-04:00,7.201,7.2011,7.2006,7.2008,0,311,0.0
2024-03-10 17:18:00-04:00,7.2008,7.2009,7.2006,7.2009,0,318,0.0
2024-03-10 17:19:00-04:00,7.2009,7.2012,7.2008,7.2009,0,295,0.0
2024-03-10 17:20:00-04:00,7.2009,7.2012,7.2008,7.2011,0,308,0.0
2024-03-10 17:21:00-04:00,7.2011,7.2012,7.201,7.2011,0,370,0.0
2024-03-10 17:22:00-04:00,7.2011,7.2012,7.201,7.2012,0,287,0.0
2024-03-10 17:23:00-04:00,7.2012,7.2012,7.201,7.2011,0,406,0.0
2024-03-10 17:24:00-04:00,7.2011,7.2011,7.2006,7.2011,0,271,0.0
2024-03-10 17:25:00-04:00,7.2011,7.2012,7.2009,7.2011,0,285,0.0
2024-03-10 17:26:00-04:00,7.2011,7.2013,7.2008,7.201,0,269,0.0
2024-03-10 17:27:00-04:00,7.201,7.2013,7.2009,7.2011,0,247,0.0
2024-03-10 17:28:00-04:00,7.2011,7.2012,7.2009,7.2011,0,262,0.0
2024-03-10 17:29:00-04:00,7.2011,7.2012,7.2009,7.2012,0,271,0.0
2024-03-10 17:30:00-04:00,7.2012,7.2012,7.2009,7.201,0,359,0.0
2024-03-10 17:31:00-04:00,7.201,7.2011,7.201,7.201,0,331,0.0
2024-03-10 17:32:00-04:00,7.201,7.2011,7.201,7.2011,0,312,0.0
2024-03-10 17:33:00-04:00,7.2011,7.2011,7.201,7.2011,0,311,0.0
2024-03-10 17:34:00-04:00,7.2011,7.2012,7.201,7.2011,0,327,0.0
2024-03-10 17:35:00-04:00,7.2011,7.2011,7.201,7.201,0,387,0.0
2024-03-10 17:36:00-04:00,7.201,7.2012,7.201,7.201,0,361,0.0
2024-03-10 17:37:00-04:00,7.201,7.2011,7.201,7.201,0,398,0.0
2024-03-10 17:38:00-04:00,7.201,7.2011,7.201,7.201,0,448,0.0
2024-03-10 17:39:00-04:00,7.201,7.201,7.201,7.201,0,403,0.0
2024-03-10 17:40:00-04:00,7.201,7.2011,7.201,7.201,0,487,0.0
2024-03-10 17:41:00-04:00,7.201,7.2011,7.201,7.2011,0,529,0.0
2024-03-10 17:42:00-04:00,7.2011,7.2011,7.201,7.201,0,433,0.0
2024-03-10 17:43:00-04:00,7.201,7.2011,7.201,7.201,0,475,0.0
2024-03-10 17:44:00-04:00,7.201,7.201,7.201,7.201,0,443,0.0
2024-03-10 17:45:00-04:00,7.201,7.2011,7.201,7.2011,0,477,0.0
2024-03-10 17:46:00-04:00,7.201,7.2011,7.2009,7.2009,0,408,0.0
2024-03-10 17:47:00-04:00,7.2009,7.2011,7.2009,7.201,0,404,0.0
2024-03-10 17:48:00-04:00,7.201,7.201,7.2009,7.201,0,434,0.0
2024-03-10 17:49:00-04:00,7.201,7.201,7.201,7.201,0,404,0.0
2024-03-10 17:50:00-04:00,7.201,7.2011,7.2009,7.201,0,377,0.0
2024-03-10 17:51:00-04:00,7.201,7.201,7.2009,7.201,0,471,0.0
2024-03-10 17:52:00-04:00,7.201,7.201,7.2009,7.201,0,444,0.0
2024-03-10 17:53:00-04:00,7.201,7.201,7.2009,7.201,0,377,0.0
2024-03-10 17:54:00-04:00,7.201,7.201,7.2009,7.201,0,381,0.0
2024-03-10 17:55:00-04:00,7.201,7.2011,7.2009,7.201,0,358,0.0
2024-03-10 17:56:00-04:00,7.201,7.201,7.2009,7.201,0,346,0.0
2024-03-10 17:57:00-04:00,7.201,7.201,7.201,7.201,0,280,0.0
2024-03-10 17:58:00-04:00,7.201,7.201,7.2009,7.201,0,327,0.0
2024-03-10 17:59:00-04:00,7.201,7.2011,7.201,7.201,0,375,0.0
2024-03-10 18:00:00-04:00,7.201,7.2011,7.2009,7.2011,0,471,0.0
2024-03-10 18:01:00-04:00,7.2011,7.2011,7.2009,7.201,0,436,0.0
2024-03-10 18:02:00-04:00,7.201,7.2011,7.201,7.2011,0,383,0.0
2024-03-10 18:03:00-04:00,7.2011,7.2013,7.201,7.2012,0,383,0.0
2024-03-10 18:04:00-04:00,7.2012,7.2013,7.2011,7.2012,0,416,0.0
2024-03-10 18:05:00-04:00,7.2012,7.2013,7.201,7.2011,0,434,0.0
2024-03-10 18:06:00-04:00,7.2011,7.2013,7.2011,7.2012,0,417,0.0
2024-03-10 18:07:00-04:00,7.2012,7.2014,7.2011,7.2012,0,460,0.0
2024-03-10 18:08:00-04:00,7.2012,7.2014,7.2011,7.2011,0,400,0.0
2024-03-10 18:09:00-04:00,7.2011,7.2012,7.201,7.201,0,387,0.0
2024-03-10 18:10:00-04:00,7.201,7.2011,7.201,7.2011,0,411,0.0
2024-03-10 18:11:00-04:00,7.2011,7.2011,7.2011,7.2011,0,421,0.0
2024-03-10 18:12:00-04:00,7.2011,7.2011,7.2011,7.2011,0,375,0.0
2024-03-10 18:13:00-04:00,7.2011,7.2011,7.2011,7.2011,0,424,0.0
2024-03-10 18:14:00-04:00,7.2011,7.2012,7.201,7.2011,0,473,0.0
2024-03-10 18:15:00-04:00,7.2011,7.2011,7.201,7.2011,0,486,0.0
2024-03-10 18:16:00-04:00,7.2011,7.2012,7.201,7.2011,0,488,0.0
2024-03-10 18:17:00-04:00,7.2011,7.2011,7.201,7.2011,0,481,0.0
2024-03-10 18:18:00-04:00,7.2011,7.2012,7.201,7.2011,0,483,0.0
2024-03-10 18:19:00-04:00,7.2011,7.2012,7.201,7.2011,0,471,0.0
2024-03-10 18:20:00-04:00,7.2011,7.2012,7.201,7.2012,0,441,0.0
2024-03-10 18:21:00-04:00,7.2012,7.2012,7.201,7.2011,0,431,0.0
2024-03-10 18:22:00-04:00,7.2011,7.2012,7.201,7.201,0,416,0.0
2024-03-10 18:23:00-04:00,7.201,7.2012,7.201,7.2011,0,439,0.0
2024-03-10 18:24:00-04:00,7.2011,7.2012,7.201,7.2011,0,410,0.0
2024-03-10 18:25:00-04:00,7.2011,7.2012,7.2011,7.2011,0,425,0.0
2024-03-10 18:26:00-04:00,7.2011,7.2013,7.2011,7.2012,0,431,0.0
2024-03-10 18:27:00-04:00,7.2012,7.2013,7.2011,7.2011,0,435,0.0
2024-03-10 18:28:00-04:00,7.2011,7.2012,7.201,7.201,0,438,0.0
2024-03-10 18:29:00-04:00,7.201,7.2012,7.201,7.2012,0,427,0.0
2024-03-10 18:30:00-04:00,7.2012,7.2012,7.201,7.2011,0,402,0.0
2024-03-10 18:31:00-04:00,7.2011,7.2012,7.201,7.2011,0,435,0.0
2024-03-10 18:32:00-04:00,7.2011,7.2011,7.201,7.201,0,375,0.0
2024-03-10 18:33:00-04:00,7.201,7.2012,7.2009,7.2009,0,395,0.0
2024-03-10 18:34:00-04:00,7.2009,7.2011,7.2009,7.201,0,403,0.0
2024-03-10 18:35:00-04:00,7.201,7.2012,7.201,7.201,0,402,0.0
2024-03-10 18:36:00-04:00,7.201,7.2011,7.201,7.2011,0,401,0.0
2024-03-10 18:37:00-04:00,7.2011,7.2011,7.2009,7.201,0,420,0.0
2024-03-10 18:38:00-04:00,7.201,7.2011,7.201,7.201,0,397,0.0
2024-03-10 18:39:00-04:00,7.201,7.2013,7.2009,7.201,0,414,0.0
2024-03-10 18:40:00-04:00,7.201,7.2012,7.201,7.2011,0,401,0.0
2024-03-10 18:41:00-04:00,7.2011,7.2012,7.201,7.2011,0,422,0.0
2024-03-10 18:42:00-04:00,7.2011,7.2012,7.201,7.201,0,464,0.0
2024-03-10 18:43:00-04:00,7.201,7.2011,7.201,7.201,0,370,0.0
2024-03-10 18:44:00-04:00,7.201,7.201,7.201,7.201,0,379,0.0
2024-03-10 18:45:00-04:00,7.201,7.201,7.201,7.201,0,358,0.0
2024-03-10 18:46:00-04:00,7.201,7.2011,7.2009,7.201,0,361,0.0
2024-03-10 18:47:00-04:00,7.201,7.2011,7.201,7.201,0,384,0.0
2024-03-10 18:48:00-04:00,7.201,7.2012,7.2009,7.2011,0,447,0.0
2024-03-10 18:49:00-04:00,7.2011,7.2012,7.201,7.201,0,456,0.0
