,open,high,low,close,volume,num_trds,value
2024-01-21 15:57:00-05:00,148.25,148.29,148.25,148.28,0,4,0.0
2024-01-21 15:58:00-05:00,148.29,148.3,148.26,148.3,0,99,0.0
2024-01-21 15:59:00-05:00,148.29,148.29,148.29,148.29,0,12,0.0
2024-01-21 16:00:00-05:00,148.29,148.3,148.28,148.28,0,96,0.0
2024-01-21 16:01:00-05:00,148.28,148.29,148.28,148.29,0,18,0.0
2024-01-21 16:05:00-05:00,148.29,148.3,148.29,148.3,0,28,0.0
2024-01-21 16:06:00-05:00,148.29,148.29,148.29,148.29,0,4,0.0
2024-01-21 16:07:00-05:00,148.29,148.29,148.29,148.29,0,32,0.0
2024-01-21 16:08:00-05:00,148.29,148.3,148.29,148.3,0,105,0.0
2024-01-21 16:09:00-05:00,148.3,148.31,148.29,148.3,0,95,0.0
2024-01-21 16:10:00-05:00,148.3,148.31,148.3,148.3,0,64,0.0
2024-01-21 16:11:00-05:00,148.3,148.31,148.29,148.3,0,102,0.0
2024-01-21 16:12:00-05:00,148.3,148.3,148.29,148.29,0,56,0.0
2024-01-21 16:13:00-05:00,148.3,148.3,148.29,148.29,0,42,0.0
2024-01-21 16:14:00-05:00,148.29,148.29,148.29,148.29,0,47,0.0
2024-01-21 16:15:00-05:00,148.28,148.29,148.28,148.29,0,30,0.0
2024-01-21 16:16:00-05:00,148.29,148.31,148.29,148.31,0,67,0.0
2024-01-21 16:17:00-05:00,148.31,148.31,148.3,148.3,0,94,0.0
2024-01-21 16:18:00-05:00,148.3,148.31,148.3,148.31,0,86,0.0
2024-01-21 16:19:00-05:00,148.31,148.31,148.3,148.31,0,74,0.0
2024-01-21 16:20:00-05:00,148.31,148.31,148.3,148.31,0,85,0.0
2024-01-21 16:21:00-05:00,148.31,148.31,148.3,148.31,0,96,0.0
2024-01-21 16:22:00-05:00,148.31,148.31,148.3,148.31,0,82,0.0
2024-01-21 16:23:00-05:00,148.31,148.31,148.3,148.31,0,72,0.0
2024-01-21 16:24:00-05:00,148.31,148.31,148.3,148.31,0,100,0.0
2024-01-21 16:25:00-05:00,148.31,148.31,148.3,148.31,0,74,0.0
2024-01-21 16:26:00-05:00,148.31,148.31,148.3,148.31,0,66,0.0
2024-01-21 16:27:00-05:00,148.31,148.31,148.3,148.31,0,58,0.0
2024-01-21 16:28:00-05:00,148.31,148.31,148.3,148.3,0,39,0.0
2024-01-21 16:29:00-05:00,148.3,148.31,148.3,148.31,0,90,0.0
2024-01-21 16:30:00-05:00,148.31,148.31,148.3,148.31,0,250,0.0
2024-01-21 16:31:00-05:00,148.31,148.31,148.3,148.31,0,270,0.0
2024-01-21 16:32:00-05:00,148.31,148.31,148.3,148.31,0,260,0.0
2024-01-21 16:33:00-05:00,148.31,148.31,148.3,148.31,0,253,0.0
2024-01-21 16:34:00-05:00,148.31,148.31,148.3,148.3,0,167,0.0
2024-01-21 16:35:00-05:00,148.31,148.31,148.3,148.31,0,78,0.0
2024-01-21 16:36:00-05:00,148.31,148.31,148.26,148.3,0,204,0.0
2024-01-21 16:37:00-05:00,148.3,148.31,148.3,148.31,0,274,0.0
2024-01-21 16:38:00-05:00,148.31,148.31,148.3,148.31,0,268,0.0
2024-01-21 16:39:00-05:00,148.31,148.31,148.3,148.31,0,258,0.0
2024-01-21 16:40:00-05:00,148.31,148.31,148.3,148.31,0,252,0.0
2024-01-21 16:41:00-05:00,148.31,148.31,148.3,148.31,0,250,0.0
2024-01-21 16:42:00-05:00,148.31,148.31,148.3,148.31,0,239,0.0
2024-01-21 16:43:00-05:00,148.31,148.31,148.3,148.3,0,258,0.0
2024-01-21 16:44:00-05:00,148.3,148.32,148.29,148.31,0,254,0.0
2024-01-21 16:45:00-05:00,148.31,148.32,148.29,148.31,0,271,0.0
2024-01-21 16:46:00-05:00,148.31,148.33,148.31,148.32,0,270,0.0
2024-01-21 16:47:00-05:00,148.32,148.33,148.32,148.32,0,254,0.0
2024-01-21 16:48:00-05:00,148.32,148.33,148.32,148.32,0,268,0.0
2024-01-21 16:49:00-05:00,148.32,148.32,148.32,148.32,0,258,0.0
2024-01-21 16:50:00-05:00,148.32,148.33,148.32,148.33,0,270,0.0
2024-01-21 16:51:00-05:00,148.33,148.33,148.29,148.3,0,263,0.0
2024-01-21 16:52:00-05:00,148.3,148.3,148.29,148.29,0,289,0.0
2024-01-21 16:53:00-05:00,148.29,148.29,148.29,148.29,0,250,0.0
2024-01-21 16:54:00-05:00,148.29,148.3,148.29,148.29,0,257,0.0
2024-01-21 16:55:00-05:00,148.29,148.29,148.28,148.29,0,281,0.0
2024-01-21 16:56:00-05:00,148.29,148.29,148.27,148.28,0,256,0.0
2024-01-21 16:57:00-05:00,148.28,148.3,148.28,148.29,0,252,0.0
2024-01-21 16:58:00-05:00,148.29,148.29,148.28,148.28,0,275,0.0
2024-01-21 16:59:00-05:00,148.28,148.3,148.26,148.26,0,256,0.0
